Title,Speaker,File,Event,Date,Type,Category,Video,Podcast,Web,Description
Neural Algorithmic Reasoning: Combining Classical Algorithms and Neural Networks,Andreea Deac,/Transcripts/Connected Data World 2021/Presentations/Andreea Deac - Neural Algorithmic Reasoning_ Combining Classical Algorithms and Neural Networks.srt,Connected Data World 2021,03/12/2021,Presentation,Graph AI,https://www.youtube.com/watch?v=ReEqDt_57Jg,,https://2021.connecteddataworld.com/talks/neural-algorithmic-reasoning-combining-classical-algorithms-and-neural-networks/,"Nowadays, using known algorithms to solve a problem or leverging advances in deep learning to tackle it are seen as two orthogonal manners to reach a solution. However, many problems could benefit instead from a combination of the two.

Here, I will present the Neural Algorithmic Reasoning (NAR) direction and how it aims to combine the guarantees and generalization power of the classical algorithms with the adaptability and possibility of working directly with raw data of neural networks. Moreover, I will introduce NAR's successful application to the field of reinforcement learning.

More precisely, I will summarise how a neural network can imitate a dynamic programming planning algorithm, that can guarantee finding optimal solutions, resulting in performance gains especially in low-data environments.

If you’re looking at solving a real-world problem and you think there are heuristics that could be helpful, but not fully solving it and/or that require the data to be thoroughly denoised before being useful, I would say this talk is for you!"
Applying Semantic Web Standards for Knowledge Representation at Elsevier,Veronique Moore,/Transcripts/Connected Data World 2021/Presentations/Applying Semantic Web Standards for Knowledge Representation at Elsevier _ Veronique Moore.srt,Connected Data World 2021,03/12/2021,Presentation,Semantic Technology, https://www.youtube.com/watch?v=nK0s2BMA73o,,https://2021.connecteddataworld.com/talks/applying-semantic-web-standards-for-knowledge-representation-at-elsevier-quality-assurance-and-release-processes/,"In our talk we will touch on our mission at Elsevier is to deliver data to improve our customer’s efficiency, may they be researchers, students, geo professionals or medical professionals.

To achieve this goal, we are working simultaneously on keeping our data up to date, accurate and on streamlining the delivery of the knowledge representation structures (KRS) backing our tools and products such as ScienceDirect, - Topic Pages, Engineering Village and more.

We align our quality assurance (QA) and delivery methods with Semantic Web standards, relying on SHACL, SPARQL for QA, RDF standard serializations for releases. We also align with international vocabulary standards, to deliver standard identifiers to our customers to support interoperability.

To make our data searchable, we also aim at dereferencing 100% of our entities on an internal platform based on a triple store and have achieved this goal for over 20 KRSs serving 5 different products.

We also work on mappings and cross-references across the KRSs to increase the efficiency of data management, and boost product interoperability."
Data Observability: How to Eliminate Data Downtime and Start Trusting Your Data,Barr Moses,/Transcripts/Connected Data World 2021/Presentations/Data Observability_ How to Eliminate Data Downtime and Start Trusting Your Data _ Barr Moses.srt,Connected Data World 2021,03/12/2021,Presentation,Semantic Technology, https://www.youtube.com/watch?v=g1_RaYDeXFs,,https://2021.connecteddataworld.com/talks/data-observability-how-to-eliminate-data-downtime-and-start-trusting-your-data/,"Broken data is costly, time-consuming, and nowadays, an all-too-common reality for even the most advanced data teams.

In this talk, I’ll introduce this problem, called “data downtime” — periods of time when data is partial, erroneous, missing or otherwise inaccurate — and discuss how to eliminate it in your data ecosystem with end-to-end data observability.

Drawing corollaries to application observability in software engineering, data observability is a critical component of the modern DataOps workflow and the key to ensuring data trust at scale.

I’ll share a quick start approach to achieving data observability at scale and highlight the important role of graph analytics and metadata in driving this process."
One graph to bind them all! Linking data & apps for event-driven interoperability,Dave Duggal,/Transcripts/Connected Data World 2021/Presentations/Dave Duggal - One graph to bind them all! Linking data & apps for event-driven interoperability.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs,https://www.youtube.com/watch?v=kub4BL5003Y,,https://2021.connecteddataworld.com/talks/one-graph-to-bind-them-all-linking-data-and-apps-for-event-driven-interoperability-and-automation/,"IT, and our world in general, is increasingly fraught with false binaries intended to divide us. Reifying data over applications, or vice-versa, simply reinforces silos and obscures holistic solutions. It’s time for a unified approach!

The solution to increasingly fragmented business operations is a digital business platform that brings together data products and business capabilities. A unified interface provides a consistent experience, shared metadata & domain semantics, and common tools across teams so everyone can benefit, contribute and collaborate. After all, the digital business is about IT productivity, service velocity and business agility.

This session will demonstrate how EnterpriseWeb’s platform provides an umbrella, graph-connected abstraction over diverse service elements, distributed endpoints and federated components to enable discovery, interoperability & automation.

The presentation will feature a short use-case demo. It will show how a no-code platform can leverage a graph language to rapidly model complex domains, onboard objects to a catalog, compose objects into services and chain services in to event-driven, end-to-end processes across business silos, ecosystem partners and cloud-services."
Knowledge Mesh: From Data Silos to Data Fabric at Global 2000 Enterprises, David Amzallag and Szymon Klarman,/Transcripts/Connected Data World 2021/Presentations/David Amzallag & Szymon Klarman - Knowledge Mesh_ From Data Silos to Data Fabric at Global 2000 EPs.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs,https://www.youtube.com/watch?v=EyuBXiWcASQ,,https://2021.connecteddataworld.com/talks/knowledge-mesh-from-data-silos-to-data-fabric-at-global-2000-enterprises/,"A common go-to data strategy adopted in large, data-intensive enterprises, is based on creation of centralized, monolithic data platforms, such as data warehouses or data lakes. Such platforms are well-known for their many limitations and lack of long-term sustainability: growing stale data silos, loss of ownership and domain context of data assets, and organizational bottlenecks around highly specialized data engineering teams. The ultimate outcome is the increase of the cost of effective data utilization within the enterprise.

Data fabric is a design concept combining multiple modern data management technologies aimed towards supporting “frictionless access and sharing of data in a distributed network environment” (Gartner).

Knowledge Mesh, a recent product delivered by BlackSwan Technologies, is an implementation of the data fabric architecture, consisting of domain-driven metadata and (meta)data management and integration tools aimed to maximize the effectiveness of data utilization in knowledge graph applications in different domains.

In this presentation we will:

- Introduce BlackSwan Technologies with its core technology vision and offering
- Describe the challenges involved in 360-degree entity view use-cases at Global 2000 enterprises
- Explain how enterprise knowledge graphs (EKG) help addressing these challenges
- Introduce the concept of data fabric via its implementation as Knowledge Mesh, and argue for its capabilities of scaling and automating EKG development in multiple domains"
Thrill-K: Rethinking knowledge layering and construction for higher machine cognition,Gadi Singer,/Transcripts/Connected Data World 2021/Presentations/Gadi Singer - Thrill-K_ Rethinking knowledge layering and construction for higher machine cognition.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs, https://www.youtube.com/watch?v=akCuZ1UYlWw,https://pod.co/the-connected-data-podcast/thrill-k-rethinking-knowledge-layering-and-construction-for-higher-machine-cognition,https://2021.connecteddataworld.com/talks/gadi-singer-thrill-k-rethinking-knowledge-layering-and-construction-for-higher-machine-cognition/,"The AI industry is now facing its next big challenge.

What are the necessary properties of representational structures that could allow vast amounts of data become meaningful in the human sense of the word? How can knowledge architectures be constructed in a way that allows for both the efficiency and effectiveness of models they support?

In this keynote, Gadi Singer will discuss anthropomorphic conceptual structures and their benefits for enhancing Cognitive AI capabilities, as well as his model of the three levels of knowledge – Thrill-K – which can serve as a blueprint for building AI systems that are both efficient and scalable."
Graph Thinking,Paco Nathan,/Transcripts/Connected Data World 2021/Presentations/Graph Thinking _ Paco Nathan _ Connected Data World 2021.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs, https://www.youtube.com/watch?v=oTehzXynnLM,,https://2021.connecteddataworld.com/talks/graph-thinking/,"This talk explores Graph Thinking as a means for conceptualizing problems which can be solved using graph technologies.

Parallels can be found in learning theory, for example how people organize knowledge into graph-like cognitive structures as they progress from novice to practitioner to expert levels in a given field.

This talk introduces a set of intuitive examples which convey the power of graph technologies – plus their trade-offs – to domain experts, to be used as a starting point for new graph projects. 
This approach has been refined through business use cases in industrial AI for firms in EU, and attempts to overcome some of the cognitive hurdles that organizations face during large graph initiatives.

To put this into context, we'll review a set of common use cases in industry and how graph data science practices can be built using Python open source, along with a survey of available libraries to leverage for different aspects of graph technologies.

Then we'll show the 'kglab' abstraction layer whichintegrates these various libraries into the PyData stack"
How a Knowledge Graph Can Support Advanced Price Analytics in Supply Chain Management,Marcus Nölke,/Transcripts/Connected Data World 2021/Presentations/How a Knowledge Graph Can Support Advanced Price Analytics in Supply Chain Management _ Marcus Nölke.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs, https://www.youtube.com/watch?v=BayxNXUS6uA,,https://2021.connecteddataworld.com/talks/how-a-knowledge-graph-can-support-advanced-price-analytics-in-supply-chain-management/,"In a company with high purchasing volume, it is crucial to design cost-efficient parts and procure these parts at competitive pricing level.

Data analytics can support on both aspects. Unfortunately, supply chain transactional data but also product life cycle data can be messy and distributed among many applications and data silos.

For the task to determine if a particular offer or paid price for a part is reasonable, the following two problems need to be solved:

Definition of scope: What do I get for the price? Are there any options included? Is packaging and transportation part of the offer?

Definition of requirements/features: What is the underlying product specification of this offer? What is the material? What special requirements does it fulfill?

Therefore, pricing information needs to be connected to design information and a clear designation system for scope and requirements must be developed in a way that it can be formally represented by a machine.

This presentation will provide insight on how a Knowledge Graph is used to deal with heterogenous data input. Additionally, an example will show how automated pricing analytics is possible using semantics and logic available in the Knowledge Graph.

A Knowledge Graph can serve here as a data integration layer based on a shared vocabulary, defined relations and properties for parts and components of which the company’s products are made of.

A crucial role plays the use of core ontologies applicable for industrial and financial domain such as the ISO 15926-14 or the FIBO ontologies. QUDT is helpful in providing a solid basis for units and measurements.

Additional domain ontologies e.g. for purchasing or engineering help to include semantics and relations among the specific domain data elements.

The transactional purchasing data as well as product design data will be mapped to the concepts and relations defined in the core and domain ontologies.

With the help of a reasoning engine automatic identification, classification and relation mapping is done. This results in automated pricing evaluations possible for most parts of the purchasing volume.

For instance, the inlet system for a gas turbine is modeled with properties such as material or inlet mass flow. Past and current pricing of the inlet system is available from the global purchasing organization for the entire gas turbine portfolio ranging from small engines to very large engines.

Using the above inlet system data model with the defined properties a regression chart can be established showing inlet system pricing over mass flow and material categories. Both properties are known to be the major cost drivers for such systems.

The regression chart can be used to determine an average price level or for detecting price anomalies. E.g. an specific offer can be evaluated against the average or even lowest price line.

This procedure is also called (multi) linear performance pricing (see https://commons.wikimedia.org/wiki/File:Linear_Performance_Pricing.png) where sales prices are shown related to performance. Performance is an aggregated value considering the important part properties.

Using a Knowledge Graph with reasoning capabilities it is possible to apply linear performance pricing at scale for all parts which need to be purchased within a company. The relevant data can be automatically mapped from legacy data bases into the Knowledge Graph. No manual data collection, curation and update processes are necessary."
Humans and the Graph - Inspiring and empowering GraphQL adoption,Dan Boerner,/Transcripts/Connected Data World 2021/Presentations/Humans and the Graph - Inspiring and empowering GraphQL adoption _ Dan Boerner _ Connected Data Worl.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs, https://www.youtube.com/watch?v=i9sOdhA24nM,,https://2021.connecteddataworld.com/talks/humans-and-the-graph-inspiring-and-empowering-graphql-adoption/,"Realizing the transformational benefits of GraphQL involves much more than learning and adopting a new API technology; it requires new mindsets, new collaboration patterns and new models of governance to maximize the value of this new enterprise-wide asset.

In this talk, Dan Boerner, Apollo’s Graph Champion, will explore the human factors side of GraphQL and share how leading graph adopting companies are focusing on empathy, inspiration, change management and communications to deliver the change and the benefits they seek."
Hybridization of Machine Learning and Operational Research is the future of AI ,Nikolaj van Omme,/Transcripts/Connected Data World 2021/Presentations/Hybridization of Machine Learning and Operational Research is the future of AI _ Nikolaj van Omme.srt,Connected Data World 2021,03/12/2021,Presentation,Graph AI, https://www.youtube.com/watch?v=zTHv0JQS7_g,,https://2021.connecteddataworld.com/talks/hybridization-of-machine-learning-and-operational-research-is-the-future-of-ai/,"Recently, Graph Neural Network (GNN) gained a lot of attention, but did you know that Graph theory is actually considered by some as a subfield of Operations Research?

Even better, did you know that Machine Learning (ML) was considered as a subfield of Operations Research (OR) a few years ago without (much) controversy?

What is OR you might ask? Not an easy question but think about optimization. Every time you try to optimize something, you probably are in the realm of OR somehow.

ML as a subfield of OR? Basically, in ML you try to ... optimize your predictions!  Beyond naming disputes, there are two fields, ML and OR, that are remarkably complementary and when you combine them together you can go (much) further than just using ML or just using OR.

There are at least 4 ways to combine ML and OR. You can use ML and OR as two black boxes without any interaction between the two.

Most of the time, you use ML to get accurate predictions in a first step and then in a second step, you optimize your problem with OR using those predictions as an input.

Then there are two technical ways to use them: use one to improve the other. It works in both directions and it really improves algorithms in both fields. Finally, there is a fourth way to combine both where new algorithms are created.

The first combination is becoming more and more popular and used since about 2019 to solve industrial problems.

The second and third combinations are essentially the subject of academic research by a few teams around the world.

The fourth combination is quite unknown but is probably the most interesting one as - in my view - it could lead to real intelligence.

In this talk, I'll briefly present what OR is and how it is related to ML. Then I'll present real and successful industrial cases for the first three combinations. I will conclude by briefly presenting what I believe can be done with the fourth combination."
Implementing Informed Consent with Knowledge Graphs,Anelia Kurteva,/Transcripts/Connected Data World 2021/Presentations/Implementing Informed Consent with Knowledge Graphs _ Anelia Kurteva _ Connected Data World 2021.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs,https://www.youtube.com/watch?v=Jeck1Rj65i8,,https://2021.connecteddataworld.com/talks/implementing-informed-consent-with-knowledge-graphs/,"The GDPR legislation has brought to light one’s rights and has highlighted the importance of consent, which has caused a major shift in how data processing and sharing are handled.

Data sharing has been a popular research topic for many years, however, a unified solution for the transparent implementation of consent, in compliance with GDPR that could be used as a standard, has not been presented yet.

In this talk I will present my research, which proposes a solution for implementing informed consent for sensor data sharing in compliance with GDPR with semantic technology, namely knowledge graphs.

The main objectives are to model the life cycle of informed consent (i.e. the request, comprehension, decision and use of consent) with knowledge graphs so that it is easily interpretable by machines, and to graphically visualise it to individuals in order to raise legal awareness of what it means to consent and the implications that follow.

The talk is suitable for both academia researchers and industry professionals."
Introducing D3FEND: A Knowledge Graph of Cybersecurity Countermeasures,Peter Kaloroumakis,/Transcripts/Connected Data World 2021/Presentations/Introducing D3FEND_ A Knowledge Graph of Cybersecurity Countermeasures _ Peter Kaloroumakis _ CDW21.srt,Connected Data World 2021,03/12/2021,Presentation,Knowledge Graphs,https://www.youtube.com/watch?v=JQCO07KASP0,,https://2021.connecteddataworld.com/talks/introducing-d3fend-a-knowledge-graph-of-cybersecurity-countermeasures/,"Cybersecurity architects are using D3FEND to describe specific technical functions within cyber technologies in a common language of countermeasure techniques. A research project funded by the National Security Agency, D3FEND provides a large collection of digital artifacts to model cyber systems and related countermeasures.

This creates a foundation for automated reasoning about the complex interplay between computer network architectures, threats, and cyber countermeasures. Our is goal to make it easier for architects to understand how countermeasures work, so that they can more effectively design, deploy, and ultimately better defend networked systems.

D3FEND is a framework which provides a countermeasure knowledge base, but more specifically, a knowledge graph. The graph contains semantically rigorous types and relations that define both the key concepts in the cybersecurity countermeasure domain and the relations necessary to link those concepts to each other.

We ground each of the concepts and relations to particular references in the cybersecurity literature. Numerous sources of research and development literature were analyzed, including a targeted sample of over 500 countermeasure patents drawn from the U.S. Patent Office corpus. The graph supports queries that can inferentially map architectural elements to both cybersecurity countermeasures and offensive TTPs."
