a.title,b.name
Graph Thinking,Knowledge Graphs
Introducing D3FEND: A Knowledge Graph of Cybersecurity Countermeasures,Knowledge Graphs
"Knowledge Graphs as Hub for Data, Metadata and Content",Knowledge Graphs
Sales AI: Building and maintaining a knowledge graph,Knowledge Graphs
One graph to bind them all! Linking data & apps for event-driven interoperability,Knowledge Graphs
Leveraging Graphcore’s IPU architecture for large scale GNN compute,Graph AI
Protecting vital public health programs with AI and Knowledge Graphs,Knowledge Graphs
Legal Knowledge Graphs,Knowledge Graphs
Humans and the Graph - Inspiring and empowering GraphQL adoption,Knowledge Graphs
Van Gogh Worldwide: Constructing and searching a knowledge graph of linked art,Knowledge Graphs
Knowledge Mesh: From Data Silos to Data Fabric at Global 2000 Enterprises,Knowledge Graphs
Reasoning for the Answer: Who is the Greatest Formula 1 Driver of all Time?,Semantic Technology
Implementing Informed Consent with Knowledge Graphs,Knowledge Graphs
"Knowledge Graphs, Graph AI, & the Need for High performance Graph Computing",Graph AI
Data Observability: How to Eliminate Data Downtime and Start Trusting Your Data,Semantic Technology
DBpedia Databus: A platform to evolve knowledge and AI from versioned web files,Knowledge Graphs
Systems that learn and reason,Semantic Technology
Secret Knowledge: Visualizing Complexity,Knowledge Graphs
Graph Abstractions Matter,Semantic Technology
The Business Case for Data Management,Semantic Technology
Hybridization of Machine Learning and Operational Research is the future of AI ,Graph AI
How a Knowledge Graph Can Support Advanced Price Analytics in Supply Chain Management,Knowledge Graphs
Graph Analytics vs Graph Machine Learning,Graph AI
UBS Helix Knowledge Graph: The Power of Information,Knowledge Graphs
The game plan for your Knowledge Graph-driven FAIR data platform,Knowledge Graphs
The Enterprise Knowledge Graph,Knowledge Graphs
Thrill-K: Rethinking knowledge layering and construction for higher machine cognition,Knowledge Graphs
Knowledge Graphs: Moving Beyond RDF,Knowledge Graphs
Modelling regulation requirements using SHACL,Semantic Technology
Neural Algorithmic Reasoning: Combining Classical Algorithms and Neural Networks,Graph AI
Taxonomies: Connecting Data with Duct Tape,Semantic Technology
"Deep Learning on Graphs: Past, Present, And Future",Graph AI
(DataCatalog)_-[poweredBy]-_(KnowledgeGraph),Knowledge Graphs
GraphEDM: A Unified Framework for Machine Learning on Graphs,Graph AI
"RDF Leveled the Advantages of LPG and Keeps 3 Key Benefits: Standards, Semantics & Interoperability",Semantic Technology
Graph Algorithms & Graph Machine Learning: Making Sense of Today's Choices,Graph AI
Applying Semantic Web Standards for Knowledge Representation at Elsevier,Semantic Technology
